pardosa-jn1.30	1	30
pardosa-jn1.41	31	36
pardosa-jn1.44	37	40
pardosa-jn1.42	41	49
pardosa-jn1.43	50	53
pardosa-jn1.29	54	63
pardosa-jn1.36	64	68
pardosa-jn1.40	69	70
pardosa-jn1.31	71	71
pardosa-jn1.34	72	72
pardosa-jn1.33	73	73
pardosa-jn1.9	74	76
pardosa-jn1.32	77	77
pardosa-abi	78	79
pardosa-jn1.35	80	81
pardosa-jn1.47	82	86
pardosa-jn1.48	87	90
pardosa-jn1.51	91	92
pardosa-jn1.52	93	96
pardosa-jn1.53	97	104
pardosa-jn1.54	105	112
pardosa-jn1.55	113	119
pardosa-jn1.56	120	124
pardosa-jn1.57	125	130
pardosa-jn1.58	131	137
pardosa-jn1.59	138	152
pardosa-jn1.65	153	154
pardosa-jn1.72	155	158
pardosa-jn1.70	159	160
pardosa-jn1.68	161	161
pardosa-jn1.69	162	162
pardosa-jn1.50	163	163
pardosa-jn1.73	164	167
pardosa-jn1.67	168	171
pardosa-jn1.66	172	176
pardosa-jn1.74	177	178
pardosa-jn1.60	179	183
pardosa-jn1.61	184	189
pardosa-jn1.62	190	194
pardosa-jn1.64	195	201
pardosa-jn1.75	202	206
pardosa-jn1.63	207	215
