1	2	S	pardosa-jn1.30	Sets the stance pardosa speaks from -- mechanism stated neutrally, no compliance claim -- the frame every later refusal follows from
2	3	S	pardosa-jn1.30	Fixes the scope boundary of the erasure guarantee: the pardosa layer only, the old artefact out of scope
3	6	B	pardosa-jn1.30	Decides what the public lifecycle types expose across the serialization boundary: vocabulary, not DTOs
4	5	B	pardosa-jn1.30	Lays down the standing rule that the spec states the rule not the technique, binding every later primitive choice
5	2	S	pardosa-jn1.30	Spans scope and stance; higher-leverage reading taken -- the citable refusal posture that guarantees below the storage layer are never made
6	5	B	pardosa-jn1.30	States SWMR as the universal invariant binding every adapter and every later exclusion decision
7	5	B	pardosa-jn1.30	States the fresh-identity invariant at every generation boundary, from which later rulings are derived
8	9	D	pardosa-jn1.30	Defines the length of the coordinated freeze window relative to the source's append rate
9	4	A	pardosa-jn1.30	Puts the migration manager inside the frozen 1.0 surface, fixing what may no longer change without a major
10	5	B	pardosa-jn1.30	Makes the writer fence unconditional -- a constraint with no configuration escape, binding all adopters
11	6	B	pardosa-jn1.30	Decides where the epoch is recorded and therefore who can read it, rather than an external coordinator or the operator
12	5	B	pardosa-jn1.30	Normative behavioural rule binding the caller: the CAS loser must stop rather than retry
13	10	D	pardosa-jn1.30	Decides artefact structure -- the metastream is an existing store type, not a new parallel artefact
14	5	B	pardosa-jn1.30	States the hard two-generation invariant, explicitly rejecting a configurable limit
15	5	B	pardosa-jn1.30	A naming rule: an identical stem pairs .pgno with .meta, giving a mechanically checkable predicate
16	5	B	pardosa-jn1.30	States the terminating invariant of the ownership model: a .meta has no .meta
17	2	S	pardosa-jn1.30	Spans field list and verdict discipline; higher taken -- the never-fold-Indeterminate stance is the frame RULED 29/44/51/57 all derive from
18	10	D	pardosa-jn1.30	Selects the concrete creation mechanism and its division of labour in the artefact creation flow
19	5	B	pardosa-jn1.30	Refuses a shape unconditionally (orphan .pgno) and fixes creation order as normative, rejecting auto-repair in all forms
20	3	S	pardosa-jn1.30	Supplies the test that settles what is in scope, keeping snapshotting a permanent non-goal
21	5	B	pardosa-jn1.30	Assigns a standing obligation to every adapter's write path, where the invariant has to bind
22	6	B	pardosa-jn1.30	Adds a capability to the public surface, deciding what every adapter's API must expose
23	6	B	pardosa-jn1.30	Decides which artefact carries which record and therefore what a generation-N reader can discover
24	6	B	pardosa-jn1.30	Decides what a read-only open reports to its caller: unowned, generation unknown, rather than a refusal
25	10	D	pardosa-jn1.30	Selects the concrete ongoing fence mechanism sitting on the .pgno write path
26	3	S	pardosa-jn1.30	Draws the scope boundary between this map and the transfer map by kind of question
27	5	B	pardosa-jn1.30	Refuses a shape: no writer opens where the fence is unavailable, so no fence is off by default
28	8	C	pardosa-jn1.30	Sets the granularity, and therefore the strength, of the negative feedback loop that rejects stale writes
29	5	B	pardosa-jn1.30	Refusal rule plus the two-causes-two-names discipline binding the vocabulary that follows
30	6	B	pardosa-jn1.30	Keeps unpersistable states on the public surface and obliges the docs to state the in-flight-only fact
31	12	D	pardosa-jn1.41	Fixes the surviving policy vocabulary by retiring one enum outright
32	4	A	pardosa-jn1.41	Freezes both enums as exhaustive, so any later variant costs a major -- the evolvability commitment is the substance
33	6	B	pardosa-jn1.41	Withholds FiberAction from the public surface
34	6	B	pardosa-jn1.41	Defines what the output artefact discloses: a dense chain from which a purge is undetectable
35	6	B	pardosa-jn1.41	Decides who chooses and where the choice is recorded, so audit and no-residue hold at once
36	3	S	pardosa-jn1.41	Scope boundary for 1.0, keeping deferral visibly distinct from permanent non-goal
37	5	B	pardosa-jn1.44	Normative clause binding pardosa's own behaviour: it never initiates a migration
38	6	B	pardosa-jn1.44	Narrows the closure's type contract so the caller cannot touch the envelope pardosa owns
39	5	B	pardosa-jn1.44	Extends a standing constructor rule to a further class, one rule not two
40	5	B	pardosa-jn1.44	Refuses a shape by name: a generation-N cursor against N+1 is rejected, never reinterpreted
41	4	A	pardosa-jn1.42	Splits what is frozen from what stays free to change: format locked, store abstraction internal and unfrozen
42	4	A	pardosa-jn1.42	Freezes the record-kind set and rejects unknown kinds, fixing what may be added without a major
43	5	B	pardosa-jn1.42	Rules the behaviour for a named state: an empty .meta is unowned and claimable by the ordinary path
44	5	B	pardosa-jn1.42	States the governing distinction -- missing safety refuses, missing evidence yields Indeterminate -- settling every future platform gap
45	5	B	pardosa-jn1.42	Confines self-claim to the recursion base so there is exactly one way to own a store
46	3	S	pardosa-jn1.42	Executes the kind test to put wire shape out of scope for this map
47	10	D	pardosa-jn1.42	Fixes the artefact topology: one metastream per data-store artefact, chained by pointer
48	10	D	pardosa-jn1.42	Fixes the on-disk structure: one container format, its placement, and stem matching
49	3	S	pardosa-jn1.42	Scope boundary: no pair tooling at 1.0, the requirement stated rather than promised
50	6	B	pardosa-jn1.43	Decides what pardosa reports to a reader and what it refuses to do with it -- reporting, never redirecting
51	5	B	pardosa-jn1.43	Applies the never-fold discipline as a rule: two directions, two names, and the read proceeds
52	6	B	pardosa-jn1.43	Fixes what the pointer's presence discloses -- a complete target, unconditionally -- timing being the mechanism
53	5	B	pardosa-jn1.43	States the 1.0 posture as a rule: no takeover without proof, guessing being forbidden
54	6	B	pardosa-jn1.29	Shapes the surface a caller meets: three types for three questions, success never dressed as failure
55	4	A	pardosa-jn1.29	Keeps the top-level enum non_exhaustive, reserving headroom to add failure modes without a major
56	6	B	pardosa-jn1.29	Decides what the error withholds: adapter detail yes, adapter type never, by any route
57	5	B	pardosa-jn1.29	Standing rule that an indeterminate outcome is never folded, because the remedy differs
58	12	D	pardosa-jn1.29	Fixes concrete variant membership and each name's reserved meaning on the create path
59	12	D	pardosa-jn1.29	Adds a distinct variant to the vocabulary for the fenced-mid-write condition
60	12	D	pardosa-jn1.29	Fixes one shared name for the orphan refusal condition across both adapters
61	6	B	pardosa-jn1.29	Chooses documentation structure over an accessor, deciding how remedy information reaches the caller
62	6	B	pardosa-jn1.29	One type for one question, so a caller need not know what to ask before knowing what they hold
63	6	B	pardosa-jn1.29	Withholds any diagnostic channel beyond the payload, bounding what the frozen surface discloses
