153	5	B	pardosa-jn1.65	Promotes a one-off to a standing naming rule binding every name in the vocabulary, giving jn1.63 a rule instead of eight judgement calls
154	4	A	pardosa-jn1.65	Removes the last workaround that would let the surface grow at a minor, so what it defines is the reach of the major-lock
155	6	B	pardosa-jn1.72	Allocates the residual gap to the ADR's Consequences and keeps it out of the spec, deciding which audience is told what
156	5	B	pardosa-jn1.72	Spans rule and feedback; higher-leverage taken -- extends the standing checklist refusal to cover its mechanised form, so no tool escapes it
157	6	B	pardosa-jn1.72	Records that two gaps are not each other's remedy, fixing what the record says so the pair is not offered again
158	6	B	pardosa-jn1.72	Rules that both halves of a source are recorded or neither, so a named counter-precedent cannot be manufactured into an invitation
159	6	B	pardosa-jn1.70	Fixes which ticket discharges the routed finding and that the spec opening has two named feeders, correcting where a drafter must look
160	5	B	pardosa-jn1.70	Spans rule and information flow; higher-leverage taken -- the standing rule that closed-ticket text is read as of its date, with erratum as the only remedy
161	6	B	pardosa-jn1.68	Holds link integrity and provenance apart, so a detection claim is not read as the provenance claim the record denies
162	5	B	pardosa-jn1.69	Re-sources the value's existence to a from-0.5.1 invariant and its shape to const-evaluability, replacing a void forcing ground
163	3	S	pardosa-jn1.50	Sets the 1.0 scope boundary for enabling support: present sufficiency, nothing further owed, no new surface admitted
164	2	S	pardosa-jn1.73	Fixes the effort's governing stance -- current-state-only by default, immutability only where a store or boundary forces it -- from which record decisions follow
165	6	B	pardosa-jn1.73	Decides what the record renders: one derived direction, no second rendering of an edge the tool already computes
166	6	B	pardosa-jn1.73	States the non-disturbance explicitly so a reader meeting two regimes does not read a general rule that was never made
167	5	B	pardosa-jn1.73	Fixes one point on the boundary: a non-substantive edit never triggers the supersession machinery
168	4	A	pardosa-jn1.67	Governs evolvability directly -- the public struct field set is major-locked, so growth costs a major
169	5	B	pardosa-jn1.67	Lays the standing surface constraint as a property clause, striking the mechanism half the naming rule now forbids
170	4	A	pardosa-jn1.67	Closes the 1.x additive-change surface: exactly three permitted additions, nothing else, one principle underneath
171	6	B	pardosa-jn1.67	Fixes where an existing guarantee actually lives, so relaxing a Rust attribute cannot be misread as weakening a non-Rust promise
172	6	B	pardosa-jn1.66	Discharges two items as already ruled by name, refusing a second rendering that could drift from the first
173	5	B	pardosa-jn1.66	Lays down the two-tier design discipline -- refuse-at-open binds, inexpressibility preferred where affordable, never mandated
174	5	B	pardosa-jn1.66	Fixes the applicability condition of the discipline to a marker the spec must carry anyway, minting no artefact
175	6	B	pardosa-jn1.66	Puts the meta-rule outside the stranger-facing surface, so a consumer gets the outcomes and not the reasoning that produced them
176	5	B	pardosa-jn1.66	Fixes the rule's reach as already covering consumer configuration, correcting a premise that would have reserved a governed case
177	5	B	pardosa-jn1.74	Sets the standing test for when supersession fires: the decision's direction, never the diff
178	5	B	pardosa-jn1.74	Adds the tie-breaker that closes the one movement escaping both prior rules -- scope narrowing or widening supersedes
179	5	B	pardosa-jn1.60	Restricts who may produce a descriptor at all, taking the reversible direction while it is free
180	8	C	pardosa-jn1.60	Fixes the actual reach of the verification: provenance is checked structurally, faithfulness is never a check that could fire
181	6	B	pardosa-jn1.60	Makes the spec state the limit plainly, so a stranger can tell which guarantee they hold
182	5	B	pardosa-jn1.60	Carves the named exception without which the derive-only rule is false on its face
183	6	B	pardosa-jn1.60	Records that the documentation asserts a falsehood, so the rebuilder builds the guarantee rather than the wording
